fichier;source;artiste_fichier;titre_fichier;resultat;score;artiste_discogs;titre_discogs;genre;style;annee;label;release_id
2018-05-21 - Steyoyoke\SYYKET005\10. Erly Tepshi - Hard To Love (Steyoyoke Rework).mp3;tags;Erly Tepshi;Hard To Love (Steyoyoke Rework);NON;62.6;Erly Tepshi;Miss You (Alberth Version);;;;;
2018-05-21 - Steyoyoke\SYYKET005\11. Binaryh & Never Lost - Urania (Original Mix).mp3;tags;Binaryh & Never Lost;Urania (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKET005\12. Arude & Binaryh - Protocol (Original Mix).mp3;tags;Arude & Binaryh ;Protocol (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKET005\13. Kommodo - Aether (Original Mix).mp3;tags;Kommodo;Aether (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKET005\14. Ricardo Piedra - Lunasphere  (Original Mix).mp3;tags;Ricardo Piedra;Lunasphere  (Original Mix);NON;0.0;;;;;;;
2018-05-21 - Steyoyoke\SYYKET005\15. Nick Devon - Skyline (Mallone's City Lights Remix).mp3;tags;Nick Devon;Skyline (Mallone's City Lights Remix);NON;74.6;Nick Devon;Style (Jules & Moss Remix);;;;;
2018-05-23 - Christopher K\Limited Resource - Christopher Kah\01 In.mp3;tags;Christopher Kah;In;MATCH;100.0;Christopher Kah;In;Electronic;Ambient/Deep Techno/Techno;2018;Highwav Records;19327015
2018-05-23 - Christopher K\Limited Resource - Christopher Kah\02 Fury.mp3;tags;Christopher Kah;Fury;MATCH;100.0;Christopher Kah;Fury;Electronic;Ambient/Deep Techno/Techno;2018;Highwav Records;19327015
2018-05-23 - Christopher K\Limited Resource - Christopher Kah\03 Real Unreal.mp3;tags;Christopher Kah;Real Unreal;MATCH;100.0;Christopher Kah;Real Unreal;Electronic;Ambient/Deep Techno/Techno;2018;Highwav Records;19327015
2018-05-23 - Christopher K\Limited Resource - Christopher Kah\04 La Morsure.mp3;tags;Christopher Kah;La Morsure;MATCH;100.0;Christopher Kah;La Morsure;Electronic;Ambient/Deep Techno/Techno;2018;Highwav Records;19327015
2018-05-23 - Christopher K\Limited Resource - Christopher Kah\05 Night Track.mp3;tags;Christopher Kah;Night Track;MATCH;100.0;Christopher Kah;Night Track;Electronic;Ambient/Deep Techno/Techno;2018;Highwav Records;19327015
2018-05-23 - Christopher K\Limited Resource - Christopher Kah\06 Flush.mp3;tags;Christopher Kah;Flush;MATCH;100.0;Christopher Kah;Flush;Electronic;Ambient/Deep Techno/Techno;2018;Highwav Records;19327015
2018-05-23 - Christopher K\Limited Resource - Christopher Kah\07 The Escape Experience.mp3;tags;Christopher Kah;The Escape Experience;MATCH;100.0;Christopher Kah;The Escape Experience;Electronic;Ambient/Deep Techno/Techno;2018;Highwav Records;19327015
2018-05-23 - Christopher K\Limited Resource - Christopher Kah\08 Madness.mp3;tags;Christopher Kah;Madness;MATCH;100.0;Christopher Kah;Madness;Electronic;Ambient/Deep Techno/Techno;2018;Highwav Records;19327015
2018-05-23 - Christopher K\Limited Resource - Christopher Kah\09 Chasm.mp3;tags;Christopher Kah;Chasm;MATCH;100.0;Christopher Kah;Chasm;Electronic;Ambient/Deep Techno/Techno;2018;Highwav Records;19327015
2018-05-23 - Christopher K\Limited Resource - Christopher Kah\10 Ex.mp3;tags;Christopher Kah;Ex;MATCH;100.0;Christopher Kah;Ex;Electronic;Ambient/Deep Techno/Techno;2018;Highwav Records;19327015
